id_transaccion,nombre,apellido,tipo_documento,documento,fecha_venta,monto,producto
TX1054,Ana,Rojas,CED,00123456842,2025-10-30,3350.3,TarjetaCredito
TX1055,InversionesGlobales,,RNC,4021234110,2025-10-25,1583.81,PrestamoPersonal
TX1056,SupermercadosLaPlaza,,RNC,4021234111,2025-11-04,7746.44,CuentaCorriente
TX1057,Daniela,Santos,CED,00123456845,2025-11-02,-25.6,CuentaAhorro
TX1058,Pedro,Morales,CED,00123456846,2025-11-09,2534.65,PrestamoPersonal
TX1059,Andres,Rojas,CED,00123456847,2025-11-16,7130.76,PrestamoComercial
TX1060,Felipe,Fernandez,CED,00123456848,2025-11-07,5897.29,PrestamoPersonal
TX1061,Daniela,Rivera,CED,00123456849,2025-11-07,2517.73,PrestamoPersonal
TX1062,Andres,Castillo,CED,00123456850,2025-11-14,5694.54,PrestamoPersonal
TX1063,Camila,Fernandez,CED,00123456851,2025-11-20,2596.99,CuentaAhorro
TX1064,BancoPopular,,RNC,4021234119,2025-11-09,2346.0,PrestamoPersonal
TX1065,Valeria,Perez,CED,00123456853,2025-11-23,4007.56,CuentaAhorro
TX1066,GrupoAlfa,,RNC,4021234121,2025-10-29,4292.34,TarjetaCredito
TX1067,Juan,Suarez,CED,00123456855,2025-11-18,7648.2,CuentaCorriente
TX1068,Maria,Ramirez,CED,00123456856,2025-11-13,6183.58,PrestamoPersonal
TX1069,Lucia,Perez,PAS,AB123524,2025-11-02,5271.2,CuentaCorriente
TX1070,Carlos,Gomez,CED,00123456858,2025-11-10,7881.11,PrestamoComercial
TX1071,Daniela,Fernandez,CED,00123456859,2025-11-20,-485.64,PrestamoComercial
TX1072,Valeria,Santos,CED,00123456860,2025-11-06,7908.8,PrestamoHipotecario
TX1073,Diego,Castillo,CED,00123456861,2025-11-11,19.87,CuentaCorriente
TX1074,SupermercadosLaPlaza,,RNC,4021234129,2025-10-29,409.73,PrestamoPersonal
TX1075,Camila,Castillo,PAS,AB123530,2025-11-03,-218.81,CuentaCorriente
TX1076,Valeria,Martinez,CED,00123456864,2025-11-15,1600.79,CuentaAhorro
TX1077,Ana,Santos,CED,00123456865,2025-11-18,3581.47,CuentaAhorro
TX1078,Diego,Rojas,CED,00123456866,2025-11-05,4461.84,CuentaCorriente
TX1079,Ana,Rivera,CED,00123456867,2025-11-18,5587.58,PrestamoPersonal
TX1080,Luis,Martinez,CED,00123456868,2025-11-15,3121.21,PrestamoComercial
TX1081,Ana,Suarez,CED,00123456869,2025-11-01,3508.48,PrestamoComercial
TX1082,Diego,Ramirez,CED,00123456870,2025-11-08,607.49,TarjetaCredito
TX1083,Pedro,Fernandez,CED,00123456871,2025-11-01,3453.1,PrestamoPersonal
TX1084,Pedro,Santos,CED,00123456872,2025-11-21,538.95,PrestamoPersonal
TX1085,Juan,Ramirez,PAS,AB123540,2025-11-09,4089.31,PrestamoHipotecario
TX1086,Camila,Martinez,CED,00123456874,2025-10-31,4907.85,PrestamoPersonal
TX1087,Camila,Lopez,CED,00123456875,2025-11-03,7028.78,PrestamoComercial
TX1088,Daniela,Gomez,CED,00123456876,2025-11-24,7006.24,TarjetaCredito
TX1089,Camila,Lopez,CED,00123456877,2025-10-26,-98.24,PrestamoHipotecario
TX1090,Maria,Ramirez,CED,00123456878,2025-11-09,898.29,PrestamoPersonal
TX1091,Diego,Castillo,CED,00123456879,2025-10-25,3347.0,PrestamoHipotecario
TX1092,Andres,Martinez,CED,00123456880,2025-10-31,2374.47,PrestamoPersonal
TX1093,Valeria,Perez,CED,00123456881,2025-11-24,195.84,PrestamoComercial
TX1094,SolucionesTecnologicas,,RNC,4021234149,2025-10-31,7610.4,PrestamoComercial
TX1095,Andres,Morales,CED,00123456883,2025-10-25,5105.51,PrestamoHipotecario
TX1096,Ana,Diaz,CED,00123456884,2025-10-26,711.46,TarjetaCredito
TX1097,Luis,Perez,CED,00123456885,2025-11-15,2011.48,PrestamoHipotecario
TX1098,Lucia,Santos,CED,00123456886,2025-11-01,5754.87,PrestamoHipotecario
TX1099,Carlos,Diaz,CED,00123456887,2025-11-13,1497.43,PrestamoPersonal
TX1100,FerreteriaCentral,,RNC,4021234155,2025-11-05,3487.63,CuentaAhorro
TX1101,Felipe,Santos,PAS,AB123556,2025-11-23,6199.25,PrestamoComercial
TX1102,Maria,Ramirez,PAS,AB123557,2025-11-06,6546.93,TarjetaCredito
TX1103,Juan,Rivera,CED,00123456891,2025-11-14,1152.7,CuentaCorriente
TX1104,TransportesHernandez,,RNC,402123459,2025-11-24,-274.81,PrestamoComercial
TX1105,Andres,Suarez,CED,00123456893,2025-11-07,7844.49,TarjetaCredito
TX1106,InversionesGlobales,,RNC,402123461,2025-10-26,5198.84,CuentaCorriente
TX1107,Maria,Santos,CED,00123456895,2025-11-06,7071.12,CuentaAhorro
TX1108,Roberto,Castillo,CED,00123456896,2025-11-03,5402.15,PrestamoComercial
TX1109,Lucia,Santos,CED,00123456897,2025-11-11,4691.59,PrestamoComercial
TX1110,AgroindustrialSantaMaria,,RNC,402123465,2025-10-29,3591.91,CuentaAhorro
TX1111,Sofia,Suarez,CED,00123456899,2025-11-19,5067.35,CuentaAhorro
TX1112,Ana,Rojas,CED,00123456900,2025-10-26,1231.37,PrestamoPersonal
TX1113,Roberto,Martinez,CED,00123456901,2025-11-22,2772.04,PrestamoHipotecario
TX1114,Juan,Rojas,CED,00123456902,2025-11-22,2479.9,CuentaCorriente
TX1115,Ana,Gomez,CED,00123456903,2025-11-09,6885.89,PrestamoHipotecario
TX1116,Luis,Gomez,CED,00123456904,2025-11-04,1925.68,PrestamoComercial
TX1117,Ana,Gomez,CED,00123456905,2025-11-13,872.94,PrestamoHipotecario
TX1118,SupermercadosLaPlaza,,RNC,402123473,2025-10-26,7974.86,TarjetaCredito
TX1119,Andres,Castillo,CED,00123456907,2025-11-24,7163.4,PrestamoPersonal
TX1120,Pedro,Diaz,CED,00123456908,2025-10-26,2122.72,CuentaAhorro
TX1121,Maria,Ramirez,CED,00123456909,2025-11-20,2345.56,CuentaCorriente
TX1122,Diego,Gomez,CED,00123456910,2025-11-04,983.13,TarjetaCredito
TX1123,Diego,Fernandez,CED,00123456911,2025-11-09,1560.81,CuentaAhorro
TX1124,Miguel,Rojas,CED,00123456912,2025-11-21,1605.3,PrestamoHipotecario
TX1125,Ana,Perez,CED,00123456913,2025-10-30,3107.2,PrestamoComercial
TX1126,Andres,Fernandez,CED,00123456914,2025-10-26,7083.9,PrestamoComercial
TX1127,Felipe,Ramirez,CED,00123456915,2025-11-19,7582.82,PrestamoPersonal
TX1128,Pedro,Diaz,CED,00123456916,2025-11-10,183.22,TarjetaCredito
TX1129,Diego,Gomez,CED,00123456917,2025-11-18,2194.21,PrestamoPersonal
TX1130,Luis,Martinez,CED,00123456918,2025-11-13,3271.23,PrestamoHipotecario
TX1131,Juan,Fernandez,CED,00123456919,2025-11-19,238.28,PrestamoPersonal
TX1132,Sofia,Rojas,CED,00123456920,2025-11-20,7581.36,PrestamoPersonal
TX1133,Miguel,Diaz,CED,00123456921,2025-11-15,380.37,CuentaCorriente
TX1134,Ana,Rivera,CED,00123456922,2025-11-19,1555.81,CuentaAhorro
TX1135,Ana,Rojas,CED,00123456923,2025-11-14,1683.21,TarjetaCredito
TX1136,Luis,Castillo,CED,00123456924,2025-11-22,1547.55,PrestamoComercial
TX1137,Carlos,Ramirez,CED,00123456925,2025-11-19,187.6,TarjetaCredito
TX1138,Maria,Perez,CED,00123456926,2025-11-18,-299.13,CuentaAhorro
TX1139,Pedro,Rojas,CED,00123456927,2025-11-15,7056.32,PrestamoPersonal
TX1140,Luis,Diaz,CED,00123456928,2025-11-12,4279.15,PrestamoPersonal
TX1141,InversionesGlobales,,RNC,402123496,2025-11-13,7489.46,PrestamoComercial
TX1142,Camila,Rivera,CED,00123456930,2025-11-08,4492.53,PrestamoComercial
TX1143,Maria,Gomez,CED,00123456931,2025-11-22,-389.22,PrestamoComercial
TX1144,Andres,Castillo,CED,00123456932,2025-11-01,6205.77,CuentaCorriente
TX1145,InversionesGlobales,,RNC,4021234100,2025-11-02,5025.09,CuentaCorriente
TX1146,Daniela,Santos,CED,00123456934,2025-11-04,953.64,PrestamoHipotecario
TX1147,Juan,Santos,CED,00123456935,2025-11-22,3784.17,CuentaAhorro
TX1148,Carlos,Lopez,CED,00123456936,2025-11-22,3086.96,TarjetaCredito
TX1149,Diego,Rivera,CED,00123456937,2025-10-28,4643.27,CuentaCorriente
TX1150,Juan,Lopez,CED,00123456938,2025-11-24,6685.41,PrestamoPersonal
TX1151,Felipe,Suarez,CED,00123456939,2025-11-01,4839.29,TarjetaCredito
TX1152,Luis,Santos,CED,00123456940,2025-11-07,2525.31,PrestamoHipotecario
TX1153,Diego,Morales,CED,00123456941,2025-11-15,1380.71,PrestamoPersonal
TX1154,Maria,Martinez,CED,00123456942,2025-10-30,26.7,PrestamoPersonal
TX1155,Juan,Gomez,CED,00123456943,2025-11-03,2864.83,PrestamoHipotecario
TX1156,Roberto,Santos,CED,00123456944,2025-11-01,3659.55,PrestamoHipotecario
TX1157,Maria,Rojas,CED,00123456945,2025-11-12,-250.64,PrestamoHipotecario
TX1158,Andres,Fernandez,PAS,AB123613,2025-11-23,733.11,PrestamoHipotecario
TX1159,SupermercadosLaPlaza,,RNC,4021234114,2025-11-11,2213.75,PrestamoPersonal
TX1160,Daniela,Gomez,CED,00123456948,2025-11-22,3234.87,PrestamoComercial
TX1161,Luis,Martinez,CED,00123456949,2025-11-03,7889.97,CuentaCorriente
TX1162,Juan,Castillo,CED,00123456950,2025-11-20,4011.62,PrestamoPersonal
TX1163,BancoPopular,,RNC,4021234118,2025-11-02,6430.84,PrestamoPersonal
TX1164,Maria,Martinez,CED,00123456952,2025-11-08,188.99,TarjetaCredito
TX1165,Luis,Suarez,CED,00123456953,2025-11-04,4091.63,PrestamoComercial
TX1166,Valeria,Castillo,PAS,AB123621,2025-10-26,7737.95,PrestamoPersonal
TX1167,Roberto,Martinez,CED,00123456955,2025-10-31,5340.01,CuentaAhorro
TX1168,BancoPopular,,RNC,4021234123,2025-11-23,819.21,CuentaCorriente
TX1169,Camila,Suarez,CED,00123456957,2025-11-23,918.07,CuentaAhorro
TX1170,Lucia,Lopez,CED,00123456958,2025-10-28,7919.75,PrestamoComercial
TX1171,Lucia,Lopez,CED,00123456959,2025-11-21,1631.01,TarjetaCredito
TX1172,GrupoAlfa,,RNC,4021234127,2025-11-19,3859.63,PrestamoPersonal
TX1173,Andres,Diaz,CED,00123456961,2025-10-30,1900.54,PrestamoHipotecario
TX1174,Maria,Castillo,CED,00123456962,2025-11-18,6034.4,CuentaCorriente
TX1175,Luis,Castillo,CED,00123456963,2025-11-06,5775.4,CuentaAhorro
TX1176,AgroindustrialSantaMaria,,RNC,4021234131,2025-11-24,5889.44,PrestamoComercial
TX1177,Telecable,,RNC,4021234132,2025-11-01,5903.59,CuentaCorriente
TX1178,Juan,Ramirez,CED,00123456966,2025-11-09,514.01,TarjetaCredito
TX1179,Maria,Perez,CED,00123456967,2025-11-03,6057.91,CuentaCorriente
TX1180,Daniela,Rojas,CED,00123456968,2025-11-20,6911.04,CuentaAhorro
TX1181,Andres,Rivera,CED,00123456969,2025-11-02,4801.75,PrestamoComercial
TX1182,Ana,Diaz,CED,00123456970,2025-11-15,5463.9,PrestamoComercial
TX1183,Maria,Perez,PAS,AB123638,2025-11-11,961.88,PrestamoComercial
TX1184,Maria,Suarez,CED,00123456972,2025-10-29,673.88,CuentaCorriente
TX1185,FerreteriaCentral,,RNC,4021234140,2025-11-22,444.78,PrestamoComercial
TX1186,Pedro,Castillo,CED,00123456974,2025-11-11,7252.28,CuentaAhorro
TX1187,Maria,Rivera,CED,00123456975,2025-11-15,1482.78,CuentaCorriente
TX1188,Roberto,Santos,CED,00123456976,2025-11-19,3285.26,PrestamoPersonal
TX1189,Andres,Morales,CED,00123456977,2025-11-13,6987.85,CuentaCorriente
TX1190,Maria,Suarez,CED,00123456978,2025-11-13,3780.06,CuentaAhorro
TX1191,BancoPopular,,RNC,4021234146,2025-11-22,2539.79,CuentaAhorro
TX1192,Lucia,Rivera,CED,00123456980,2025-11-14,1346.65,TarjetaCredito
TX1193,BancoPopular,,RNC,4021234148,2025-11-19,234.82,PrestamoHipotecario
TX1194,Juan,Morales,CED,00123456982,2025-11-13,1742.09,TarjetaCredito
TX1195,Miguel,Rojas,CED,00123456983,2025-11-03,2941.08,PrestamoPersonal
TX1196,Carlos,Gomez,CED,00123456984,2025-10-25,2518.2,PrestamoComercial
TX1197,Felipe,Castillo,CED,00123456985,2025-11-01,2252.36,CuentaCorriente
TX1198,Sofia,Diaz,CED,00123456986,2025-10-25,5602.28,CuentaAhorro
TX1199,SupermercadosLaPlaza,,RNC,4021234154,2025-11-11,3638.88,PrestamoHipotecario
TX1200,Juan,Perez,CED,00123456988,2025-10-25,654.02,PrestamoPersonal
